image,paths,note
acroRd32.exe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe|C:\Program Files\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe,Adobe Acrobat Reader default install paths
appcmd.exe,C:\Windows\System32\inetsrv\appcmd.exe|C:\Windows\SysWOW64\inetsrv\appcmd.exe,IIS command-line utility
at.exe,C:\Windows\System32\at.exe,Windows command
atbroker.exe,C:\Windows\System32\AtBroker.exe,Windows accessibility utility
audiodg.exe,C:\Windows\System32\audiodg.exe,Windows audio device graph isolation
bitsadmin.exe,C:\Windows\System32\bitsadmin.exe,Windows command
bitsproxy.dll,C:\Windows\System32\bitsproxy.dll|C:\Windows\SysWOW64\bitsproxy.dll,BITS proxy module
certutil.exe,C:\Windows\System32\certutil.exe|C:\Windows\SysWOW64\certutil.exe,Windows command
cmd.exe,C:\Windows\System32\cmd.exe|C:\Windows\SysWOW64\cmd.exe,Windows command processor
conhost.exe,C:\Windows\System32\conhost.exe|C:\Windows\SysWOW64\conhost.exe,Windows console host
control.exe,C:\Windows\System32\control.exe|C:\Windows\SysWOW64\control.exe,Windows Control Panel
csc.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe|C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe|C:\Windows\Microsoft.NET\Framework64\v3.5\csc.exe|C:\Windows\Microsoft.NET\Framework\v3.5\csc.exe,.NET Framework C# compiler
cscript.exe,C:\Windows\System32\cscript.exe|C:\Windows\SysWOW64\cscript.exe,Windows Script Host console
devtoolslauncher.exe,C:\Windows\System32\devtoolslauncher.exe,Windows developer tool launcher
diskshadow.exe,C:\Windows\System32\diskshadow.exe,Windows Server Volume Shadow Copy utility
displayswitch.exe,C:\Windows\System32\DisplaySwitch.exe|C:\Windows\SysWOW64\DisplaySwitch.exe,Windows projection utility
dxcap.exe,C:\Windows\System32\dxcap.exe|C:\Windows\SysWOW64\dxcap.exe,DirectX capture utility
eventvwr.exe,C:\Windows\System32\eventvwr.exe,Windows Event Viewer
excel.exe,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\EXCEL.EXE|C:\Program Files\Microsoft Office\Office16\EXCEL.EXE|C:\Program Files (x86)\Microsoft Office\Office16\EXCEL.EXE,Microsoft Office Excel
fodhelper.exe,C:\Windows\System32\fodhelper.exe,Windows Features on Demand helper
forfiles.exe,C:\Windows\System32\forfiles.exe,Windows command
ftp.exe,C:\Windows\System32\ftp.exe|C:\Windows\SysWOW64\ftp.exe,Windows command
hh.exe,C:\Windows\System32\hh.exe|C:\Windows\SysWOW64\hh.exe,HTML Help executable
magnify.exe,C:\Windows\System32\Magnify.exe,Windows accessibility utility
mftrace.exe,C:\Windows\System32\mftrace.exe,Windows Media Foundation trace utility
